"version","date_1","movie_1","n_men_start1","n_men_end1","n_women_start1","n_women_end1","n_children_start.1","n_children_end1","date_2","movie_2","n_men_start2","n_men_end2","n_women_start2","n_women_end2","n_teenagers_start2","n_teenagers_end2","n_children_start2","n_children_end2","date_3","movie_3","n_men_start3","n_men_end3","n_women_start3","n_women_end3","n_teenagers_start3..males","n_teenagers_end3..males","n_teenagers_start3..females","n_teenagers_end3..females","n_children_start3","n_children_end3","date_4","movie_4","n_men_start4","n_men_end4","n_women_start4","n_women_end4","n_teenagers_start4..males","n_teenagers_end4..males","n_teenagers_start4..females","n_teenagers_end4..females","n_children_start4","n_children_end4","X","date_5","movie_5","n_men_start5","n_men_end5","n_women_start5","n_women_end5","n_teenagers_start5..males","n_teenagers_end5..males","n_teenagers_start5..females","n_teenagers_end5..females","n_children_start5","n_children_end5","date_6","movie_6","n_men_start6","n_men_end6","n_women_start6","n_women_end6","n_teenagers_start6..males","n_teenagers_end6..males","n_teenagers_start6..females","n_teenagers_end6..females","n_children_start6","n_children_end6","tc_id"
"TA","31/7/2016","Pirates",30,25,15,13,20,25,"7/8/16","Slumdog",26,26,10,15,15,13,15,15,"14/8/2016","Spy",10,18,3,12,8,,15,,28,13,"21/8/2016","Fast and furious",,"15",12,4,9,11,19,3,4,20,30,"28/8/2016","Creed",15,17,5,18,13,,6,,46,35,"4/9/16","Oz ",10,15,5,8,15,18,3,2,29,36,93
"IPV-AS","30/7/2016","Pirates",8,19,14,23,22,47,"6/8/16","Slumdog",11,27,9,16,21,32,14,26,"13/8/2016","Spy",12,27,5,15,17,21,8,17,23,37,"20/8/2016","Fast and furious",,"16",27,7,19,18,34,7,17,27,43,"27/8/2016","Creed",12,27,6,13,12,24,4,16,26,38,"3/9/16","Oz ",11,26,2,11,14,28,9,19,24,39,41
"CON","31/7/2016","Pirates",20,,15,,50,,"7/8/16","Slumdog",5,15,2,10,15,25,30,40,"14/8/2016","Spy",20,30,0,8,15,20,10,15,50,55,"21/8/2016","Fast and furious",,"20",30,10,12,25,25,15,15,20,20,"28/8/2016","Creed",5,7,0,6,20,30,15,25,20,22,"4/9/16","Oz ",20,18,15,12,20,22,12,16,16,14,4
"AS-TA","31/7/2016","Pirates",42,36,17,13,24,22,"6/8/16","Slumdog",9,19,2,11,6,12,18,23,"13/8/2016","Spy",19,48,3,9,7,11,1,3,4,12,"21/8/2016","Fast and furious",,"18",31,3,7,8,14,2,4,17,22,"28/8/2016","Creed",17,21,2,4,11,17,2,1,12,21,"4/9/16","Oz ",21,42,3,7,4,9,1,2,14,17,89
"IPV-AS","30/7/2016","Pirates",5,11,12,32,41,76,"6/8/16","Slumdog",40,50,35,58,27,70,40,69,"13/8/2016","Spy",5,15,3,21,,22,,18,40,70,"20/8/2016","Fast and furious",,"46",26,39,20,42,39,22,25,50,61,"27/8/2016","Creed",20,18,25,21,24,25,11,16,42,60,"3/9/16","Oz ",22,32,13,21,22,42,12,21,46,62,31
"IPV-AS","30/7/2016","Pirates",28,32,3,9,14,26,"6/8/16","Slumdog",16,20,5,15,21,30,18,22,"13/8/2016","Spy",10,15,5,10,15,19,12,13,16,29,"20/8/2016","Fast and furious",,"94",17,3,11,12,25,6,9,15,32,"28/8/2016","Creed",9,13,4,7,22,31,3,5,,,"3/9/16","Oz ",4,12,5,4,12,25,3,9,24,28,71
"IPV-TA","30/7/2016","Pirates",20,26,4,5,15,16,"6/8/16","Slumdog",15,25,9,16,16,28,20,33,"13/8/2016","Spy",10,19,4,14,8,14,7,10,18,28,"20/8/2016","Fast and furious",,"8",21,2,7,4,10,0,4,15,22,"27/8/2016","Creed",6,15,2,6,7,10,3,5,10,20,"3/9/16","Oz ",14,16,4,6,8,13,2,5,16,20,104
"TA","31/7/2016","Pirates",24,12,0,1,4,10,"7/8/16","Slumdog",38,51,9,9,11,13,14,23,"14/8/2016","Spy",10,12,8,6,12,16,7,5,15,19,"21/8/2016","Fast and furious",,"11",13,4,4,9,13,6,9,11,5,"28/8/2016","Creed",9,11,4,6,9,11,7,6,9,9,"4/9/16","Oz ",11,9,6,7,12,15,13,9,8,10,61
"TA","30/7/2016","Pirates",20,50,3,6,17,10,"6/8/16","Slumdog",50,60,10,20,35,40,30,25,"14/8/2016","Spy",35,50,5,8,,80,,10,50,30,"20/8/2016","Fast and furious",,"40",50,13,15,60,80,22,25,70,90,"27/8/2016","Creed",60,90,10,20,40,75,25,25,70,95,"3/9/16","Oz ",60,90,8,25,65,90,15,10,70,85,19
"IPV-AS","30/7/2016","Pirates",23,31,3,7,35,27,"6/8/16","Slumdog",12,16,5,4,28,38,33,41,"13/8/2016","Spy",3,7,0,5,15,1,17,4,23,49,"20/8/2016","Fast and furious",,"7",15,3,11,16,28,5,12,35,30,"27/8/2016","Creed",5,7,2,4,7,8,1,4,18,13,"3/9/16","Oz ",3,12,1,7,11,23,1,4,23,39,21
"IPV-TA","30/7/2016","Pirates",19,15,14,7,26,19,"6/8/16","Slumdog",20,25,6,10,15,10,19,15,"13/8/2016","Spy",13,20,9,14,,18,,7,18,12,"20/8/2016","Fast and furious",,"23",26,7,13,16,14,5,7,15,20,"27/8/2016","Creed",10,15,5,4,12,15,3,8,15,20,"3/9/16","Oz ",18,23,10,17,13,20,5,8,15,22,8
"AS-TA","30/7/2016","Pirates",38,47,9,12,17,20,"6/8/16","Slumdog",25,34,5,7,7,9,3,5,"13/8/2016","Spy",11,22,4,12,8,19,5,14,19,33,"20/8/2016","Fast and furious",,"6",18,3,9,18,31,5,11,11,30,"27/8/2016","Creed",11,21,3,15,15,29,6,17,14,22,"3/9/16","Oz ",11,19,3,8,12,41,9,23,19,39,44
"AS","31/7/2016","Pirates",20,25,5,4,8,10,"7/8/16","Slumdog",10,18,16,15,7,10,5,8,"14/8/2016","Spy",10,19,3,10,15,,20,,4,12,"21/8/2016","Fast and furious",,"10",23,2,4,4,6,5,4,15,18,"28/8/2016","Creed",14,20,8,15,,,,,10,22,"4/9/16","Oz ",20,20,15,20,22,30,10,18,30,26,83
"AS-TA","30/7/2016","Pirates",25,35,15,20,30,25,"6/8/16","Slumdog",20,30,15,25,20,15,20,25,"14/8/2016","Spy",15,25,10,15,15,10,8,10,20,20,"20/8/2016","Fast and furious",,"10",20,8,15,20,25,15,18,15,20,"27/8/2016","Creed",10,22,13,20,15,20,8,15,20,20,"4/9/16","Oz ",15,15,6,13,10,12,8,10,20,15,5
"AS","31/7/2016","Pirates",20,21,6,7,10,17,"7/8/16","Slumdog",21,34,0,3,6,5,10,11,"14/8/2016","Spy",37,33,9,6,23,,17,,15,7,"21/8/2016","Fast and furious",,"27",27,3,3,7,7,1,1,19,16,"28/8/2016","Creed",18,19,2,1,19,19,0,2,18,18,"4/9/16","Oz ",27,29,3,1,11,13,5,2,27,22,72
"AS","31/7/2016","Pirates",16,47,11,32,21,43,"6/8/16","Slumdog",15,40,10,30,5,20,15,40,"13/8/2016","Spy",21,30,6,15,18,25,7,15,25,35,"20/8/2016","Fast and furious",,"18",33,3,14,12,37,5,13,10,21,"27/8/2016","Creed",14,29,1,3,12,21,10,17,35,48,"3/9/16","Oz ",10,5,29,33,24,28,18,25,37,46,22
"AS-TA","30/7/2016","Pirates",32,26,9,12,13,15,"6/8/16","Slumdog",11,20,3,7,15,18,6,10,"14/8/2016","Spy",9,17,2,3,6,,12,,5,9,"20/8/2016","Fast and furious",,"6",18,2,8,15,18,2,2,6,11,"27/8/2016","Creed",7,15,3,2,9,10,1,1,6,8,"3/9/16","Oz ",6,15,2,4,5,10,1,0,4,10,97
"AS-TA","30/7/2016","Pirates",51,44,24,25,27,21,"6/8/16","Slumdog",16,24,29,38,20,18,39,41,"13/8/2016","Spy",20,16,11,15,26,28,19,21,24,29,"20/8/2016","Fast and furious",,"18",26,11,24,22,37,15,29,15,33,"27/8/2016","Creed",20,30,16,32,38,42,21,34,36,32,"4/9/16","Oz ",11,16,14,18,19,27,17,24,23,29,25
"IPV-AS","30/7/2016","Pirates",26,20,9,6,14,18,"6/8/16","Slumdog",14,18,7,4,18,24,13,14,"14/8/2016","Spy",27,23,4,4,6,12,0,0,13,6,"20/8/2016","Fast and furious",,"28",33,6,9,8,11,4,7,16,20,"28/8/2016","Creed",15,18,6,2,14,12,2,0,13,10,"4/9/16","Oz ",18,23,2,3,10,16,2,5,13,17,92
"TA","30/7/2016","Pirates",25,20,5,7,30,30,"6/8/16","Slumdog",15,15,3,5,30,20,15,30,"13/8/2016","Spy",10,13,10,15,30,,30,,20,20,"20/8/2016","Fast and furious",,"10",15,5,7,21,20,19,13,15,26,"27/8/2016","Creed",15,21,5,9,20,26,8,11,10,24,"3/9/16","Oz ",15,18,9,7,20,25,12,15,21,29,110
"AS-TA","30/7/2016","Pirates",25,20,10,8,15,15,"6/8/16","Slumdog",25,26,2,5,15,20,10,15,"13/8/2016","Spy",4,12,3,3,6,,20,,5,10,"20/8/2016","Fast and furious",,"7",14,3,7,17,19,2,2,20,20,"27/8/2016","Creed",2,18,3,8,5,10,2,4,10,20,"3/9/16","Oz ",10,17,2,4,13,10,4,2,22,33,94
"TA","31/7/2016","Pirates",27,36,8,4,18,10,"7/8/16","Slumdog",22,27,9,11,13,16,10,12,"13/8/2016","Spy",28,41,6,4,12,,15,,10,8,"21/8/2016","Fast and furious",,"31",38,4,8,14,17,8,9,18,21,"27/8/2016","Creed",18,23,4,5,10,12,3,5,10,12,"3/9/16","Oz ",35,39,4,9,19,17,7,7,20,26,90
"IPV","31/7/2016","Pirates",25,20,15,14,50,60,"7/8/16","Slumdog",20,14,8,9,15,20,45,55,"14/8/2016","Spy",15,13,7,6,8,,5,,50,55,"21/8/2016","Fast and furious",,"6",4,3,3,13,15,4,2,30,38,"28/8/2016","Creed",15,17,4,4,40,44,10,11,30,37,"4/9/16","Oz ",12,10,4,4,15,,5,2,30,,10
"AS","31/7/2016","Pirates",1,23,4,19,13,39,"7/8/16","Slumdog",7,34,5,17,5,26,34,70,"14/8/2016","Spy",10,21,6,13,9,26,1,11,30,50,"21/8/2016","Fast and furious",,"7",23,0,9,13,29,0,6,28,67,"28/8/2016","Creed",12,30,14,22,10,20,1,3,40,65,"4/9/16","Oz ",9,30,1,19,4,25,2,8,33,50,45
"AS","31/7/2016","Pirates",8,29,6,8,30,5,"7/8/16","Slumdog",10,30,3,8,10,20,30,40,"14/8/2016","Spy",15,40,2,12,10,15,5,8,25,35,"21/8/2016","Fast and furious",,"5",10,3,8,15,19,5,10,30,50,"27/8/2016","Creed",18,20,7,10,10,20,8,5,23,33,"3/9/16","Oz ",19,28,5,7,1,30,3,6,30,38,80
"CON","30/7/2016","Pirates",7,16,3,8,30,35,"6/8/16","Slumdog",12,34,2,14,12,21,23,28,"14/8/2016","Spy",15,28,0,2,15,19,2,3,13,20,"20/8/2016","Fast and furious",,"20",25,1,3,13,23,1,2,19,26,"27/8/2016","Creed",15,29,1,5,13,20,1,4,19,25,"3/9/16","Oz ",13,10,2,4,14,19,2,3,23,25,95
"IPV","31/7/2016","Pirates",15,20,5,5,30,25,"7/8/16","Slumdog",10,15,5,10,20,15,20,20,"14/8/2016","Spy",5,15,3,18,30,,20,,20,22,"21/8/2016","Fast and furious",,"10",15,4,10,15,20,10,15,8,21,"28/8/2016","Creed",8,15,6,13,14,18,10,14,18,24,"4/9/16","Oz ",10,17,6,11,15,21,12,20,20,22,111
"IPV-TA","31/7/2016","Pirates",12,28,0,7,16,21,"7/8/16","Slumdog",5,15,0,9,2,13,7,11,"14/8/2016","Spy",5,24,3,15,0,5,0,1,8,12,"21/8/2016","Fast and furious",,"5",25,2,12,0,3,0,5,6,8,"28/8/2016","Creed",8,12,2,8,5,16,2,9,0,17,"4/9/16","Oz ",5,12,3,7,6,11,2,6,5,7,105
"IPV","31/7/2016","Pirates",30,43,6,25,27,40,"7/8/16","Slumdog",15,28,10,20,20,32,30,45,"13/8/2016","Spy",19,40,10,25,25,,47,,24,28,"21/8/2016","Fast and furious",,"20",35,10,20,25,38,15,24,30,36,"28/8/2016","Creed",25,38,12,22,20,45,10,28,20,35,"4/9/16","Oz ",20,40,7,26,23,34,15,28,20,30,49
"CON","31/7/2016","Pirates",7,12,2,7,17,25,"6/8/16","Slumdog",5,13,2,7,7,12,23,31,"13/8/2016","Spy",5,13,0,8,4,7,0,4,18,47,"20/8/2016","Fast and furious",,"4",9,2,4,6,8,1,2,13,28,"27/8/2016","Creed",3,7,2,5,6,9,2,2,19,28,"3/9/16","Oz ",3,7,2,3,5,7,2,3,22,36,98
"CON","31/7/2016","Pirates",40,70,30,46,28,34,"6/8/16","Slumdog",20,46,18,37,25,49,23,30,"13/8/2016","Spy",62,77,30,41,,,62,30,71,82,"20/8/2016","Fast and furious",,"45",78,29,33,56,61,20,26,64,85,"27/8/2016","Creed",84,102,26,87,42,75,36,38,69,100,"3/9/16","Oz ",72,98,12,22,56,82,40,68,70,88,2
"AS","31/7/2016","Pirates",38,30,2,3,21,28,"7/8/16","Slumdog",8,9,4,6,16,20,15,18,"13/8/2016","Spy",14,20,2,5,10,,13,,8,10,"21/8/2016","Fast and furious",,"7",25,5,8,18,21,4,2,14,20,"28/8/2016","Creed",18,25,1,2,15,20,0,0,20,14,"4/9/16","Oz ",12,20,5,6,10,12,3,5,15,20,69
"AS","31/7/2016","Pirates",33,29,17,12,20,23,"7/8/16","Slumdog",4,8,8,13,13,19,16,22,"14/8/2016","Spy",5,6,10,13,7,9,3,4,25,29,"21/8/2016","Fast and furious",,"5",7,4,8,7,8,3,5,16,18,"28/8/2016","Creed",4,7,6,9,5,9,4,4,16,27,"4/9/16","Oz ",10,12,9,11,8,10,5,5,19,23,102
"IPV","31/7/2016","Pirates",40,95,5,18,24,55,"7/8/16","Slumdog",60,64,6,8,11,18,,24,"14/8/2016","Spy",38,40,13,16,12,18,3,2,8,12,"21/8/2016","Fast and furious",,"35",48,9,11,17,21,3,6,34,34,"28/8/2016","Creed",23,36,2,7,28,35,6,8,25,32,"4/9/16","Oz ",13,23,6,10,17,17,2,3,15,28,77
"AS-TA","30/7/2016","Pirates",20,23,8,8,22,55,"6/8/16","Slumdog",16,20,5,9,12,16,11,17,"13/8/2016","Spy",28,28,8,5,9,,9,,6,6,"20/8/2016","Fast and furious",,"33",30,8,4,9,9,3,3,25,25,"27/8/2016","Creed",26,26,6,6,18,14,4,2,21,28,"3/9/16","Oz ",21,18,4,3,5,6,3,2,34,35,73
"AS-TA","30/7/2016","Pirates",22,30,10,25,20,15,"6/8/16","Slumdog",15,20,10,10,15,30,20,10,"13/8/2016","Spy",20,30,30,30,6,6,4,4,20,30,"22/8/2016","Fast and furious",,"5",10,20,25,10,10,5,5,10,10,"27/8/2016","Creed",10,20,15,30,20,20,10,10,10,20,"3/9/16","Oz ",20,20,30,30,20,20,10,10,20,20,16
"IPV-TA","30/7/2016","Pirates",12,58,0,34,21,65,"6/8/16","Slumdog",7,23,1,12,7,15,6,17,"13/8/2016","Spy",7,25,4,32,5,13,2,6,8,12,"20/8/2016","Fast and furious",,"5",24,2,8,3,11,2,6,9,7,"27/8/2016","Creed",7,34,1,15,2,7,0,3,4,6,"3/9/16","Oz ",9,24,0,7,7,13,2,11,12,7,70
"TA","30/7/2016","Pirates",26,37,30,41,21,25,"6/8/16","Slumdog",40,35,35,37,30,35,20,25,"13/8/2016","Spy",35,40,20,35,12,20,10,15,15,30,"21/8/2016","Fast and furious",,"40",70,15,30,15,16,10,10,20,15,"28/8/2016","Creed",30,35,17,40,8,15,15,18,20,25,"3/9/16","Oz ",25,35,20,28,17,10,15,13,18,20,11
"CON","30/7/2016","Pirates",17,30,5,8,13,11,"6/8/16","Slumdog",16,12,9,5,23,16,21,26,"13/8/2016","Spy",17,15,1,3,8,,22,,13,10,"20/8/2016","Fast and furious",,"9",7,1,3,36,33,0,2,8,17,"27/8/2016","Creed",10,12,2,0,20,22,2,4,20,28,"3/9/16","Oz ",10,12,1,4,12,20,0,1,19,25,112
"AS","31/7/2016","Pirates",28,40,2,1,20,26,"7/8/16","Slumdog",15,25,1,3,8,16,14,19,"13/8/2016","Spy",17,30,1,1,10,18,0,0,13,21,"21/8/2016","Fast and furious",,"The councillor LC3 mobilized people against the movie in a violent way - no screening",,,,,,,,,,"28/8/2016","Creed",0,3,0,3,16,25,1,0,13,19,"4/9/16","Oz ",2,0,0,0,14,21,1,0,12,14,96
"IPV-TA","31/7/2016","Pirates",21,29,17,42,25,39,"7/8/16","Slumdog",13,25,19,22,15,16,23,34,"14/8/2016","Spy",21,32,10,21,15,,28,,13,30,"21/8/2016","Fast and furious",,"18",25,11,20,13,24,7,11,23,32,"28/8/2016","Creed",18,21,6,12,5,23,2,12,13,38,"4/9/16","Oz ",,,,,,,,,,,50
"AS","31/7/2016","Pirates",26,22,8,7,42,48,"7/8/16","Slumdog",12,14,7,5,21,20,26,28,"14/8/2016","Spy",13,15,6,5,,16,,8,18,14,"21/8/2016","Fast and furious",,"14",16,6,7,22,23,13,15,31,28,"28/8/2016","Creed",12,14,5,6,18,21,7,10,23,19,"4/9/16","Oz ",9,11,5,6,18,21,11,9,26,28,12
"CON","30/7/2016","Pirates",27,30,11,10,12,10,"6/8/16","Slumdog",15,30,8,20,24,45,16,15,"13/8/2016","Spy",30,40,9,20,24,,28,,15,25,"20/8/2016","Fast and furious",,"24",30,16,22,20,24,10,14,20,25,"27/8/2016","Creed",10,27,5,10,15,24,7,12,15,20,"3/9/16","Oz ",19,40,13,19,24,24,10,20,19,30,74
"AS","31/7/2016","Pirates",30,68,3,5,27,21,"7/8/16","Slumdog",16,29,6,12,18,36,24,40,"14/8/2016","Spy",12,26,3,12,21,34,9,15,22,43,"21/8/2016","Fast and furious",,"18",21,4,9,24,34,6,12,30,36,"28/8/2016","Creed",22,31,6,12,14,35,8,11,24,32,"4/9/16","Oz ",21,31,6,9,24,29,11,16,26,32,17
"TA","31/7/2016","Pirates",12,25,1,6,14,19,"7/8/16","Slumdog",15,25,6,10,21,32,13,19,"14/8/2016","Spy",29,32,2,5,20,8,25,11,5,12,"21/8/2016","Fast and furious",,"36",46,10,3,19,22,5,5,10,14,"28/8/2016","Creed",32,46,10,5,19,22,12,10,16,21,"4/9/16","Oz ",12,23,0,2,16,21,3,8,12,18,103
"IPV-TA","31/7/2016","Pirates",40,20,10,10,30,15,"7/8/16","Slumdog",10,45,10,30,15,25,20,20,"13/8/2016","Spy",15,20,10,15,10,20,10,10,20,20,"21/8/2016","Fast and furious",,"15",25,20,28,20,20,15,15,20,20,"28/8/2016","Creed",8,25,9,20,15,18,13,22,20,15,"3/9/16","Oz ",10,25,15,22,8,20,5,15,20,20,6
"IPV-TA","31/7/2016","Pirates",38,30,23,18,45,45,"7/8/16","Slumdog",29,21,18,15,23,17,39,20,"14/8/2016","Spy",27,17,21,12,17,18,4,0,35,40,"20/8/2016","Fast and furious",,"23",18,9,7,17,13,3,2,40,40,"27/8/2016","Creed",28,17,10,6,12,10,3,0,30,20,"4/9/16","Oz ",30,23,13,8,13,7,5,4,20,20,91
"CON","31/7/2016","Pirates",15,20,8,15,20,39,"8/8/16","Slumdog",9,10,3,15,10,24,15,14,"13/8/2016","Spy",9,14,4,10,10,12,4,5,30,38,"20/8/2016","Fast and furious",,"18",10,9,4,15,12,7,2,39,21,"27/8/2016","Creed",10,15,11,13,15,19,8,9,31,37,"4/9/16","Oz ",19,28,11,18,14,21,9,13,38,55,99
"CON","30/7/2016","Pirates",13,17,2,5,16,22,"6/8/16","Slumdog",9,16,5,11,12,23,20,37,"13/8/2016","Spy",11,22,9,17,14,18,6,11,33,41,"20/8/2016","Fast and furious",,"19",17,8,12,25,27,20,16,26,28,"27/8/2016","Creed",21,21,12,12,24,24,19,20,23,31,"3/9/16","Oz ",21,21,13,16,26,27,17,19,20,23,51
"CON","30/7/2016","Pirates",11,25,5,2,20,23,"6/8/16","Slumdog",10,15,3,1,12,10,15,20,"13/8/2016","Spy",10,15,3,1,14,,14,,20,14,"20/8/2016","Fast and furious",,"12",17,3,2,15,20,2,2,15,14,"27/8/2016","Creed",25,30,3,3,16,25,3,2,16,14,"3/9/16","Oz ",14,20,3,7,16,16,2,2,19,15,65
"TA","31/7/2016","Pirates",6,31,0,11,12,27,"7/8/16","Slumdog",7,17,8,5,12,12,9,9,"13/8/2016","Spy",8,17,2,7,9,11,6,0,10,15,"21/8/2016","Fast and furious",,"13",23,6,7,20,20,0,0,11,15,"28/8/2016","Creed",10,15,5,3,6,10,0,0,16,17,"4/9/16","Oz ",15,39,7,3,10,19,3,0,15,20,66
"IPV-AS","30/7/2016","Pirates",5,19,1,9,12,38,"7/8/16","Slumdog",3,13,1,11,12,18,30,48,"14/8/2016","Spy",6,11,1,4,5,0,10,0,13,29,"21/8/2016","Fast and furious",,"4",8,1,7,6,11,1,3,26,51,"28/8/2016","Creed",3,9,1,8,6,11,1,4,28,54,"4/9/16","Oz ",3,7,1,11,4,8,1,2,17,41,108
"AS-TA","31/7/2016","Pirates",34,34,13,28,42,54,"7/8/16","Slumdog",13,37,2,21,8,23,19,32,"14/8/2016","Spy",11,11,9,9,10,10,6,6,32,32,"21/8/2016","Fast and furious",,"12",18,7,11,16,22,8,13,19,29,"28/8/2016","Creed",17,20,13,16,17,21,9,12,18,24,"4/9/16","Oz ",18,22,14,16,18,22,11,13,17,25,88
