"version","date_1","movie_1","n_men_start1","n_men_end1","n_women_start1","n_women_end1","n_children_start.1","n_children_end1","date_2","movie_2","n_men_start2","n_men_end2","n_women_start2","n_women_end2","n_teenagers_start2","n_teenagers_end2","n_children_start2","n_children_end2","date_3","movie_3","n_men_start3","n_men_end3","n_women_start3","n_women_end3","n_teenagers_start3..males","n_teenagers_end3..males","n_teenagers_start3..females","n_teenagers_end3..females","n_children_start3","n_children_end3","date_4","movie_4","n_men_start4","n_men_end4","n_women_start4","n_women_end4","n_teenagers_start4..males","n_teenagers_end4..males","n_teenagers_start4..females","n_teenagers_end4..females","n_children_start4","n_children_end4","X","date_5","movie_5","n_men_start5","n_men_end5","n_women_start5","n_women_end5","n_teenagers_start5..males","n_teenagers_end5..males","n_teenagers_start5..females","n_teenagers_end5..females","n_children_start5","n_children_end5","date_6","movie_6","n_men_start6","n_men_end6","n_women_start6","n_women_end6","n_teenagers_start6..males","n_teenagers_end6..males","n_teenagers_start6..females","n_teenagers_end6..females","n_children_start6","n_children_end6","tc_id"
"IPV-AS","","Pirates",23,29,9,16,27,34,"6/8/16","Slumdog",26,38,11,14,27,29,32,38,"13/8/2016","Spy",13,18,6,15,,13,,6,25,26,"21/8/2016","Fast and furious",,"23",26,8,14,14,17,3,8,19,32,"28/8/2016","Creed",13,27,7,14,15,23,9,11,22,38,"3/9/16","Oz ",13,29,6,18,7,19,3,11,32,46,15
"CON","30/7/2016","Pirates",12,7,7,5,48,57,"6/8/16","Slumdog",7,15,2,9,16,25,5,12,"13/8/2016","Spy",9,18,4,7,15,,30,,5,7,"20/8/2016","Fast and furious",,"12",23,4,9,13,24,7,10,6,10,"27/8/2016","Creed",15,22,3,6,14,32,7,16,5,13,"3/9/16","Oz ",9,18,5,9,19,33,11,16,10,18,34
"TA","31/7/2016","Pirates",20,21,3,6,14,20,"7/8/16","Slumdog",14,25,6,20,10,20,15,19,"14/8/2016","Spy",25,30,8,14,5,20,9,9,12,10,"21/8/2016","Fast and furious",,"10",27,5,10,9,20,5,15,8,24,"28/8/2016","Creed",16,30,7,17,14,20,5,10,13,19,"4/9/16","Oz ",10,20,6,10,22,25,12,15,14,17,100
"IPV-TA","30/7/2016","Pirates",12,10,1,2,31,28,"6/8/16","Slumdog",10,14,2,3,17,13,27,22,"13/8/2016","Spy",5,11,0,2,4,9,1,5,15,27,"20/8/2016","Fast and furious",,"3",10,2,4,4,1,7,3,24,30,"27/8/2016","Creed",4,12,1,3,6,9,2,3,22,30,"3/9/16","Oz ",2,7,1,3,6,9,2,7,18,27,54
"IPV-AS","31/7/2016","Pirates",10,20,4,5,15,17,"7/8/16","Slumdog",10,21,2,5,12,10,15,15,"14/8/2016","Spy",15,22,5,17,6,8,4,4,11,16,"21/8/2016","Fast and furious",,"21",25,7,14,10,16,6,10,11,14,"28/8/2016","Creed",15,20,5,11,5,11,6,8,14,14,"4/9/16","Oz ",15,21,7,12,11,15,8,5,20,7,62
"IPV","31/7/2016","Pirates",14,31,12,27,23,6,"7/8/16","Slumdog",16,38,12,22,14,21,18,12,"14/8/2016","Spy",12,31,4,16,4,0,14,4,20,15,"21/8/2016","Fast and furious",,"20",32,12,18,12,20,5,1,15,9,"28/8/2016","Creed",5,18,2,12,2,13,0,5,16,8,"4/9/16","Oz ",6,14,3,12,4,8,0,4,13,6,26
"IPV-AS","31/7/2016","Pirates",27,37,10,19,34,26,"7/8/16","Slumdog",35,13,38,17,25,30,35,35,"14/8/2016","Spy",28,32,10,21,,30,,10,15,26,"21/8/2016","Fast and furious",,"32",38,10,26,40,49,12,20,30,40,"29/8/2016","Creed",30,36,8,10,12,15,7,10,22,28,"4/9/16","Oz ",40,50,15,20,22,30,10,15,30,43,1
"IPV-TA","30/7/2016","Pirates",30,27,8,11,32,36,"6/8/16","Slumdog",23,28,6,13,16,5,35,22,"13/8/2016","Spy",6,14,1,7,23,,38,,27,33,"20/8/2016","Fast and furious",,"11",20,7,15,25,34,5,17,20,37,"27/8/2016","Creed",11,28,2,11,12,39,5,17,20,38,"3/9/16","Oz ",11,17,4,9,11,22,5,12,17,32,52
"CON","31/7/2016","Pirates",60,45,5,12,15,23,"7/8/16","Slumdog",12,16,4,3,25,20,22,26,"14/8/2016","Spy",37,36,4,2,25,,25,,27,28,"21/8/2016","Fast and furious",,"12",17,2,5,31,37,1,1,18,23,"28/8/2016","Creed",16,22,5,3,25,35,3,7,32,38,"4/9/16","Oz ",18,22,2,3,25,29,3,1,38,35,78
"IPV","31/7/2016","Pirates",14,23,3,9,40,62,"7/8/16","Slumdog",4,9,2,8,5,11,13,24,"14/8/2016","Spy",7,12,2,6,11,13,6,7,18,33,"21/8/2016","Fast and furious",,"5",11,1,5,4,17,1,4,13,28,"28/8/2016","Creed",5,10,1,5,6,12,3,7,23,45,"4/9/16","Oz ",2,13,3,6,7,8,4,7,15,31,55
"IPV","30/7/2016","Pirates",15,20,1,8,3,25,"7/8/16","Slumdog",4,13,2,8,8,6,14,19,"14/8/2016","Spy",4,11,2,7,3,6,0,2,2,9,"20/8/2016","Fast and furious",,"7",14,0,1,3,5,0,0,12,16,"27/8/2016","Creed",7,14,1,3,4,5,1,0,8,17,"3/9/16","Oz ",9,14,2,2,3,4,0,0,7,21,86
"TA","30/7/2016","Pirates",14,10,11,8,21,25,"6/8/16","Slumdog",16,13,7,12,19,22,41,38,"13/8/2016","Spy",18,24,9,6,,11,,4,21,25,"20/8/2016","Fast and furious",,"17",22,9,5,22,24,13,12,31,33,"27/8/2016","Creed",14,12,6,5,24,26,11,9,29,32,"3/9/16","Oz ",11,15,6,5,21,24,16,14,26,22,13
"CON","30/7/2016","Pirates",10,25,5,7,15,35,"7/8/16","Slumdog",16,45,7,15,4,10,20,30,"14/8/2016","Spy",15,18,8,12,10,16,4,9,11,20,"21/8/2016","Fast and furious",,"15",28,9,20,21,28,6,22,26,30,"28/8/2016","Creed",19,27,11,18,15,26,13,11,27,39,"4/9/16","Oz ",14,10,21,24,38,34,28,22,20,34,23
"AS-TA","30/7/2016","Pirates",15,49,9,32,23,25,"6/8/16","Slumdog",7,17,14,34,24,32,23,28,"13/8/2016","Spy",16,10,3,6,13,13,2,4,6,14,"20/8/2016","Fast and furious",,"11",18,5,19,11,15,3,9,28,37,"27/8/2016","Creed",13,11,5,9,9,13,3,5,18,23,"3/9/16","Oz ",17,16,8,12,12,18,5,9,39,53,38
"IPV","31/7/2016","Pirates",30,70,15,20,20,30,"7/8/16","Slumdog",30,40,15,18,20,30,60,78,"13/8/2016","Spy",25,30,7,15,,65,,15,40,60,"21/8/2016","Fast and furious",,"60",70,20,30,50,90,30,30,70,90,"28/8/2016","Creed",50,70,15,20,40,15,15,60,80,150,"4/9/16","Oz ",30,70,20,35,40,70,10,20,60,85,20
"IPV-AS","31/7/2016","Pirates",20,30,22,40,30,30,"7/8/16","Slumdog",20,20,10,10,20,20,30,30,"14/8/2016","Spy",10,15,15,20,10,,15,,30,30,"20/8/2016","Fast and furious",,"10",25,15,35,15,30,5,10,20,20,"28/8/2016","Creed",10,10,20,20,10,20,5,10,10,10,"4/9/16","Oz ",30,30,40,50,10,15,5,5,20,20,18
"IPV-TA","31/7/2016","Pirates",30,56,5,12,24,35,"7/8/16","Slumdog",12,22,7,13,18,25,24,27,"14/8/2016","Spy",13,18,8,12,20,20,13,13,14,28,"21/8/2016","Fast and furious",,"3",16,6,8,8,15,3,7,20,35,"27/8/2016","Creed",4,11,2,9,17,26,1,5,22,30,"4/9/16","Oz ",10,16,2,7,14,18,6,10,20,31,84
"IPV-TA","30/7/2016","Pirates",5,13,0,3,10,18,"6/8/16","Slumdog",11,9,1,5,13,20,5,12,"13/8/2016","Spy",25,28,9,8,13,19,4,10,11,9,"20/8/2016","Fast and furious",,"15",19,0,5,24,32,10,8,12,14,"27/8/2016","Creed",12,38,1,0,12,19,0,8,10,15,"3/9/16","Oz ",24,28,1,9,15,22,9,11,8,3,75
"AS-TA","31/7/2016","Pirates",18,25,8,19,29,30,"7/8/16","Slumdog",2,1,3,12,16,31,34,63,"14/8/2016","Spy",7,13,3,18,12,6,14,13,32,73,"21/8/2016","Fast and furious",,"3",11,6,18,18,33,7,16,31,67,"28/8/2016","Creed",5,12,3,7,17,23,8,15,31,74,"4/9/16","Oz ",4,11,2,15,10,28,1,16,32,82,24
"IPV","30/7/2016","Pirates",56,72,11,24,22,32,"6/8/16","Slumdog",25,41,3,12,8,10,17,38,"13/8/2016","Spy",16,34,9,12,14,,23,,22,27,"20/8/2016","Fast and furious",,"29",43,7,18,15,21,6,10,31,35,"27/8/2016","Creed",30,33,4,9,16,20,2,5,21,24,"3/9/16","Oz ",28,31,11,17,19,20,4,6,16,23,81
"IPV","31/7/2016","Pirates",23,42,4,7,10,20,"7/8/16","Slumdog",7,15,5,10,10,19,15,20,"14/8/2016","Spy",12,30,1,5,6,17,0,2,8,20,"21/8/2016","Fast and furious",,"12",19,1,5,4,8,0,2,13,20,"28/8/2016","Creed",8,20,4,3,4,7,0,0,7,16,"4/9/16","Oz ",7,14,2,5,3,8,0,2,11,17,106
"AS","31/7/2016","Pirates",21,18,16,6,23,42,"7/8/16","Slumdog",9,18,5,13,11,21,18,26,"14/8/2016","Spy",13,25,7,19,19,26,9,15,23,38,"21/8/2016","Fast and furious",,"13",21,7,17,14,29,1,16,21,47,"28/8/2016","Creed",14,23,2,6,9,17,3,9,21,28,"4/9/16","Oz ",13,23,2,8,16,27,2,9,14,27,42
"IPV","30/7/2016","Pirates",40,25,6,15,30,50,"6/8/16","Slumdog",15,24,3,7,10,26,20,35,"13/8/2016","Spy",18,13,10,12,,21,,3,36,40,"20/8/2016","Fast and furious",,"6",9,5,8,19,20,4,5,40,44,"27/8/2016","Creed",15,17,11,14,30,33,8,5,48,52,"3/9/16","Oz ",9,10,6,3,39,43,5,5,25,25,9
"AS","31/7/2016","Pirates",40,50,35,55,40,50,"7/8/16","Slumdog",20,27,25,35,20,30,30,35,"14/8/2016","Spy",18,40,25,45,10,25,13,35,20,30,"20/8/2016","Fast and furious",,"15",35,17,30,10,15,15,20,20,40,"27/8/2016","Creed",30,33,25,35,15,17,20,15,30,25,"4/9/16","Oz ",20,38,25,43,20,25,15,23,20,32,7
"IPV-AS","30/7/2016","Pirates",8,15,2,6,15,27,"6/8/16","Slumdog",10,12,7,7,12,24,13,16,"13/8/2016","Spy",19,22,2,5,18,,25,,10,16,"20/8/2016","Fast and furious",,"6",11,0,2,14,18,0,2,17,19,"28/8/2016","Creed",6,16,0,4,10,14,1,4,17,22,"3/9/16","Oz ",9,14,0,5,16,19,3,7,10,16,107
"CON","31/7/2016","Pirates",11,16,2,7,22,32,"7/8/16","Slumdog",18,47,12,24,20,31,21,32,"14/8/2016","Spy",10,18,8,18,21,32,9,18,25,37,"21/8/2016","Fast and furious",,"5",14,2,5,11,27,4,8,23,29,"28/8/2016","Creed",4,20,2,11,5,28,3,12,21,45,"4/9/16","Oz ",10,28,7,19,16,40,4,17,24,57,32
"TA","30/7/2016","Pirates",65,60,18,15,20,20,"6/8/16","Slumdog",35,28,20,21,15,11,20,18,"13/8/2016","Spy",5,9,2,6,8,,15,,10,15,"20/8/2016","Fast and furious",,"10",15,6,10,15,21,3,10,10,15,"27/8/2016","Creed",20,28,12,18,,,,,20,23,"3/9/16","Oz ",,,,,,,,,,,79
"IPV","31/7/2016","Pirates",16,40,9,28,23,19,"7/8/16","Slumdog",22,29,5,9,10,15,25,30,"14/8/2016","Spy",20,26,6,11,15,13,5,8,30,28,"21/8/2016","Fast and furious",,"13",11,5,9,9,13,3,5,18,23,"28/8/2016","Creed",14,17,6,8,12,15,5,5,19,25,"4/9/16","Oz ",12,18,4,7,13,4,2,20,23,27,39
"AS-TA","31/7/2016","Pirates",14,23,7,14,43,61,"7/8/16","Slumdog",9,15,5,13,12,13,15,42,"14/8/2016","Spy",9,18,4,10,14,,28,,18,33,"21/8/2016","Fast and furious",,"8",15,4,10,14,18,3,9,20,33,"27/8/2016","Creed",4,14,3,10,15,19,6,10,25,40,"4/9/16","Oz ",7,11,1,5,10,14,3,5,15,23,109
"IPV-TA","31/7/2016","Pirates",15,24,4,11,20,32,"6/8/16","Slumdog",6,11,2,13,19,22,21,18,"13/8/2016","Spy",10,17,8,12,16,,21,,28,38,"20/8/2016","Fast and furious",,"11",15,5,11,22,24,3,8,18,28,"27/8/2016","Creed",6,11,0,8,5,12,1,6,8,33,"3/9/16","Oz ",11,21,8,16,9,19,1,9,23,28,27
"IPV-TA","30/7/2016","Pirates",15,21,9,18,21,12,"6/8/16","Slumdog",8,36,9,22,13,24,24,32,"13/8/2016","Spy",12,21,8,14,5,0,10,2,18,32,"20/8/2016","Fast and furious",,"6",16,3,9,2,8,0,2,18,28,"27/8/2016","Creed",6,17,2,9,9,13,0,2,12,21,"3/9/16","Oz ",3,12,3,14,6,11,1,2,18,31,28
"AS-TA","30/7/2016","Pirates",6,14,12,18,22,40,"6/8/16","Slumdog",15,20,8,15,6,10,20,35,"13/8/2016","Spy",5,14,8,17,7,13,4,9,8,25,"20/8/2016","Fast and furious",,"16",36,10,31,12,18,8,15,18,40,"27/8/2016","Creed",4,18,2,13,4,9,5,7,17,43,"3/9/16","Oz ",12,20,6,14,4,7,3,6,14,32,46
"TA","31/7/2016","Pirates",5,6,4,7,23,35,"6/8/16","Slumdog",10,20,0,14,12,17,5,13,"14/8/2016","Spy",6,12,3,6,8,,27,,2,5,"21/8/2016","Fast and furious",,"15",19,3,8,15,25,4,7,2,5,"28/8/2016","Creed",8,17,2,9,16,26,6,11,5,9,"4/9/16","Oz ",8,14,2,5,12,22,6,12,4,11,40
"AS","30/7/2016","Pirates",8,39,1,16,9,43,"6/8/16","Slumdog",28,45,4,12,19,31,16,26,"13/8/2016","Spy",9,14,4,8,14,21,2,6,25,46,"20/8/2016","Fast and furious",,"8",15,4,11,18,28,3,7,19,32,"27/8/2016","Creed",10,17,3,6,14,27,4,11,24,47,"3/9/16","Oz ",8,11,5,12,18,36,4,10,25,43,33
"AS-TA","30/7/2016","Pirates",20,32,3,8,7,14,"6/8/16","Slumdog",17,25,3,6,10,15,11,15,"13/8/2016","Spy",20,25,15,20,16,20,6,7,11,15,"20/8/2016","Fast and furious",,"17",25,16,21,17,16,4,8,15,17,"27/8/2016","Creed",11,20,6,7,14,19,5,8,10,16,"3/9/16","Oz ",15,21,9,10,12,15,6,8,14,16,58
"IPV-TA","30/7/2016","Pirates",23,47,7,32,18,39,"6/8/16","Slumdog",10,32,0,8,5,21,19,38,"13/8/2016","Spy",11,13,6,8,10,11,2,3,38,40,"20/8/2016","Fast and furious",,"8",11,5,7,9,8,4,8,11,14,"27/8/2016","Creed",8,10,7,8,9,10,4,5,10,12,"3/9/16","Oz ",9,10,8,7,8,10,6,8,10,12,85
"CON","31/7/2016","Pirates",29,30,24,20,32,34,"7/8/16","Slumdog",16,20,17,19,20,15,30,26,"14/8/2016","Spy",14,17,2,9,15,19,10,16,17,20,"21/8/2016","Fast and furious",,"9",10,4,5,17,16,5,7,26,28,"28/8/2016","Creed",6,6,2,4,19,20,11,9,24,22,"3/9/16","Oz ",6,,1,,15,14,7,9,19,20,29
"TA","30/7/2016","Pirates",10,29,6,18,25,42,"7/8/16","Slumdog",10,15,3,11,22,31,12,30,"14/8/2016","Spy",10,18,2,14,,18,,8,22,31,"21/8/2016","Fast and furious",,"9",16,6,8,18,25,10,12,31,34,"28/8/2016","Creed",4,18,2,6,20,25,5,5,15,26,"4/9/16","Oz ",8,15,2,5,11,18,4,6,18,28,30
"TA","31/7/2016","Pirates",41,33,24,16,36,26,"6/8/16","Slumdog",17,14,6,11,23,32,12,26,"13/8/2016","Spy",49,32,0,10,22,,32,,11,26,"21/8/2016","Fast and furious",,"26",46,12,15,14,20,8,11,34,28,"28/8/2016","Creed",15,42,4,8,13,24,7,12,22,15,"3/9/16","Oz ",17,31,8,5,12,23,9,12,14,10,35
"IPV-AS","31/7/2016","Pirates",20,33,15,26,8,15,"7/8/16","Slumdog",20,40,10,15,13,20,8,18,"14/8/2016","Spy",20,80,15,35,12,40,8,25,5,20,"21/8/2016","Fast and furious",,"42",86,25,50,22,46,15,32,16,33,"28/8/2016","Creed",12,73,8,40,10,27,7,18,13,25,"4/9/16","Oz ",22,48,15,26,11,25,8,17,6,15,47
"AS-TA","30/7/2016","Pirates",17,,20,,25,,"6/8/16","Slumdog",25,20,20,25,15,20,40,50,"13/8/2016","Spy",4,12,8,15,7,15,5,10,25,35,"20/8/2016","Fast and furious",,"20",25,12,15,15,20,10,14,17,20,"27/8/2016","Creed",10,15,8,10,15,20,12,15,15,15,"3/9/16","Oz ",11,13,15,14,21,19,16,17,15,15,14
"IPV-AS","30/7/2016","Pirates",5,14,2,6,21,43,"7/8/16","Slumdog",10,22,5,15,20,31,32,40,"14/8/2016","Spy",5,14,2,6,11,19,1,6,23,37,"21/8/2016","Fast and furious",,"9",19,3,10,16,24,2,5,25,44,"27/8/2016","Creed",3,11,1,4,13,20,2,5,22,42,"4/9/16","Oz ",6,19,2,9,11,27,1,5,16,33,56
"IPV","30/7/2016","Pirates",87,21,8,5,40,46,"6/8/16","Slumdog",22,19,11,8,18,16,50,50,"13/8/2016","Spy",24,18,20,16,18,20,6,0,45,40,"21/8/2016","Fast and furious",,"24",20,19,16,16,14,7,4,53,50,"28/8/2016","Creed",29,24,13,9,17,15,5,2,45,40,"3/9/16","Oz ",24,20,14,12,15,10,4,3,37,40,87
"TA","30/7/2016","Pirates",25,24,0,8,18,35,"6/8/16","Slumdog",20,23,2,6,30,38,28,30,"14/8/2016","Spy",7,14,2,6,18,,29,,17,24,"20/8/2016","Fast and furious",,"16",18,0,5,8,14,0,2,19,25,"27/8/2016","Creed",9,18,1,6,10,14,0,4,20,25,"3/9/16","Oz ",8,15,2,7,10,18,2,4,15,26,53
"CON","31/7/2016","Pirates",12,23,8,14,22,36,"7/8/16","Slumdog",10,15,13,18,20,33,16,24,"14/8/2016","Spy",8,18,3,7,10,32,6,22,13,16,"21/8/2016","Fast and furious",,"7",13,9,22,19,26,8,11,21,34,"28/8/2016","Creed",13,16,8,10,19,24,5,11,22,31,"4/9/16","Oz ",9,16,5,12,13,30,7,14,21,31,59
"AS","31/7/2016","Pirates",8,12,1,4,18,56,"6/8/16","Slumdog",6,13,3,10,12,15,20,38,"13/8/2016","Spy",2,7,1,3,9,18,1,4,13,32,"20/8/2016","Fast and furious",,"4",11,0,1,9,17,3,4,17,34,"28/8/2016","Creed",4,9,1,4,7,16,2,5,13,33,"3/9/16","Oz ",5,16,3,8,9,20,3,7,15,22,57
"TA","31/7/2016","Pirates",26,10,11,21,29,67,"7/8/16","Slumdog",9,22,6,24,4,19,33,46,"13/8/2016","Spy",15,23,6,11,4,7,0,5,21,39,"20/8/2016","Fast and furious",,"11",21,6,11,4,10,2,5,33,46,"27/8/2016","Creed",14,23,3,16,8,17,1,8,21,54,"3/9/16","Oz ",8,17,4,9,9,17,3,10,45,55,36
"IPV-TA","30/7/2016","Pirates",40,52,9,13,18,24,"6/8/16","Slumdog",20,32,8,17,15,28,10,16,"13/8/2016","Spy",17,31,2,19,13,28,5,26,15,21,"20/8/2016","Fast and furious",,"11",26,4,13,18,24,7,12,33,33,"27/8/2016","Creed",21,26,12,18,20,26,9,14,31,36,"3/9/16","Oz ",21,32,15,26,22,24,11,19,30,53,60
"AS","30/7/2016","Pirates",10,20,1,2,2,15,"6/8/16","Slumdog",8,15,2,5,10,20,15,20,"13/8/2016","Spy",10,20,3,5,10,15,15,20,20,30,"20/8/2016","Fast and furious",,"10",18,5,8,15,20,3,7,25,37,"28/8/2016","Creed",5,10,3,6,10,20,8,8,20,30,"4/9/16","Oz ",10,16,5,8,12,18,4,3,22,36,82
"IPV-AS","31/7/2016","Pirates",12,20,5,10,25,25,"7/8/16","Slumdog",15,20,5,11,13,10,20,20,"14/8/2016","Spy",10,15,5,8,12,,15,,20,16,"21/8/2016","Fast and furious",,"10",13,7,3,13,15,5,2,15,10,"28/8/2016","Creed",12,24,3,8,12,17,2,5,14,17,"4/9/16","Oz ",10,12,3,5,15,15,2,4,17,14,67
"IPV-TA","30/7/2016","Pirates",7,15,5,6,38,32,"7/8/16","Slumdog",7,15,2,6,20,28,16,24,"14/8/2016","Spy",24,18,2,7,12,,29,,8,22,"20/8/2016","Fast and furious",,"20",23,8,4,12,17,5,8,30,12,"27/8/2016","Creed",15,25,27,19,12,14,8,6,30,14,"4/9/16","Oz ",35,40,12,15,23,31,8,12,22,18,37
"AS-TA","30/7/2016","Pirates",10,25,0,5,10,20,"6/8/16","Slumdog",5,30,1,6,15,15,9,6,"14/8/2016","Spy",9,37,0,4,11,20,0,0,15,10,"20/8/2016","Fast and furious",,"11",29,2,1,10,18,0,0,15,11,"27/8/2016","Creed",5,31,2,2,9,20,0,0,13,19,"3/9/16","Oz ",8,15,2,2,10,,14,,9,7,68
"IPV-AS","30/7/2016","Pirates",20,48,14,27,22,33,"7/8/16","Slumdog",28,65,20,28,32,44,35,43,"14/8/2016","Spy",53,70,26,48,,,60,25,74,90,"21/8/2016","Fast and furious",,"51",99,44,71,62,89,57,60,88,97,"28/8/2016","Creed",86,150,40,67,78,82,42,66,95,101,"4/9/16","Oz ",63,106,18,42,26,44,16,26,77,93,3
"IPV-AS","30/7/2016","Pirates",30,27,25,18,20,30,"6/8/16","Slumdog",10,17,9,12,15,20,22,20,"13/8/2016","Spy",11,8,9,5,19,16,6,3,21,17,"20/8/2016","Fast and furious",,"9",14,4,14,6,7,3,6,28,21,"27/8/2016","Creed",9,15,2,8,7,13,2,5,15,22,"3/9/16","Oz ",9,13,9,12,11,14,5,7,19,26,76
"AS","30/7/2016","Pirates",29,38,2,13,16,30,"6/8/16","Slumdog",26,39,4,10,16,27,10,10,"13/8/2016","Spy",25,39,6,13,13,,25,,0,2,"20/8/2016","Fast and furious",,"30",40,1,3,20,35,4,4,3,8,"27/8/2016","Creed",38,43,2,4,24,32,1,3,0,1,"3/9/16","Oz ",20,33,2,5,16,18,4,4,16,18,63
"IPV","30/7/2016","Pirates",9,32,5,16,12,15,"6/8/16","Slumdog",5,20,2,16,5,14,5,19,"13/8/2016","Spy",3,23,4,23,4,8,0,2,6,26,"20/8/2016","Fast and furious",,"5",14,4,12,5,9,1,2,12,27,"27/8/2016","Creed",1,19,4,10,7,14,1,3,12,21,"3/9/16","Oz ",14,30,4,24,6,25,2,10,25,35,48
"IPV","31/7/2016","Pirates",13,17,2,7,15,23,"7/8/16","Slumdog",19,20,5,11,15,17,5,6,"14/8/2016","Spy",8,12,3,4,18,,20,,10,10,"21/8/2016","Fast and furious",,"16",20,4,6,10,15,1,1,13,20,"28/8/2016","Creed",15,26,6,9,11,15,2,2,10,10,"4/9/16","Oz ",10,15,5,5,12,12,2,2,9,22,64
"IPV","30/7/2016","Pirates",10,7,0,3,20,22,"6/8/16","Slumdog",8,15,2,6,5,10,12,22,"14/8/2016","Spy",6,12,3,6,10,8,3,4,40,37,"21/8/2016","Fast and furious",,"5",8,2,5,10,18,1,3,30,38,"28/8/2016","Creed",9,16,2,6,5,7,1,4,31,41,"3/9/16","Oz ",12,17,5,5,10,13,1,2,32,40,101
"CON","30/7/2016","Pirates",26,19,5,16,37,83,"6/8/16","Slumdog",21,35,3,14,23,27,16,21,"14/8/2016","Spy",32,63,4,20,16,37,3,16,29,43,"21/8/2016","Fast and furious",,"23",54,8,20,18,39,3,9,30,54,"28/8/2016","Creed",21,34,4,6,9,16,1,4,37,43,"4/9/16","Oz ",26,47,4,15,19,36,2,11,44,58,43
