"","SubmissionDate","starttime","endtime","enum","note_1","note_2","intro","audio","audio_consent","consent_text","consent","note_3","date_time","id","id_2","district","tracking","time_2","sex_q2_1","day_q2_2","age_q2_3","rel_q2_4","q2_4_oth","status_q2_5","q2_5_oth","note2_6","members_q2_6","child_q2_7","older_q2_8","younger_q2_9","q2_9err","born_q2_10","lc1_naba_vht_q2_11","q2_12err","discuss_q2_13","big_city_q2_14","kla_q2_14","vill16_q2_15","educ_q2_21","read_q2_22","read_q2_22b","lang_q2_23","q2_23_oth","other_lang_q2_24","q2_24err","q2_24_oth","tribe_q2_25","q2_25_oth","tribe1","uga_q2_22","uga_q2_22b","time_3","activity_q3_1","q3_1_oth","free_time_q3_2","q3_2err","convers_q3_3","q3_3err","time_4","news_q4_1","oly_q4_2","africa_cup_q4_3","watchTV_q4_1","mobile_q4_2","time_5","living_cond_q5_1","living_tribe_q5_2","living_tribe_q5_2b","cond_parents_q5_3","cond_children_q5_4","randomdraw1","hardwork_q5_5","hardwork_q5_6","religious_q5_7","religious_q5_8","willing_q5_9","willing_q5_10","time_6","new_ideas_q6_2a_c1","goals_q6_2","q6_2err","time_7","note7_1","achiever_q7_1","kneel_q7_3","woman_earns_q7_3","women_leaders_q7_5","time_8","note8","note_sec8","audio_sec8","note8_1","randomdraw2","action_q8_1a_1","action_q8_1b_1","action_q8_1b_2_1","action_q8_1c_1","action_q8_1d_1","action_q8_1d_2_1","action_q8_1a_2","action_q8_1b_2","action_q8_1b_2_2","action_q8_1c_2","action_q8_1d_2","action_q8_1d_2_2","action_q8_1a_3","action_q8_1b_3","action_q8_1b_2_3","action_q8_1c_3","action_q8_1d_3","action_q8_1d_2_3","action_q8_1a_4","action_q8_1b_4","action_q8_1b_2_4","action_q8_1c_4","action_q8_1d_4","action_q8_1d_2_4","note8_2","disobeys_q8_1a","disobeys_yes","disobeys_no","randomdraw3","chat_q8_1b","fin_pressure_q8_1c","no_housework_q8_1e","note8_3","disobeys_community_q8_2","housework_comm_q8_4","chat_community_q8_5","fin_press_comm_q8_6","react_q8_7","intervene_q8_9","note8_1f","time_9","note9_1","randomdraw4","citizens_q9_1a_1","citizens_q9_1a_2","randomdraw5","government_q9_1b_1","government_q9_1b_2","elders_q9_2","time_10","randomdraw6","note_10_1","time_11","robbed_police_q11_5","gov_resp_q11_2","time_12","time_13","religion_q14_1","q14_1_oth","religion_times_q14_2","pray_private_q14_4","time_14","killed_witch_q14_1","possible_kill_q14_1b","randomdraw9","time_15","randomdraw11","note15_1son","move_son_q15_3","move_daughter_q15_3","time_16","note16_1","note16_1_2","beaten_comm_q16_1","woman_beaten_q16_1b","report_q16_1c","q16_1err","report_q16_1c_oth","note16_2","once_week_q16_2","once_week_q16_2b","once_month_q16_2b","friends_fam_q16_3","note17","note17_1","dwelling_q16_1","q16_1_oth","note17_2","rooms_q16_2","walls_q16_5","q16_5_oth","floor_q16_6","q16_6_oth","light_q16_7","q16_7_oth","fuel_q16_8","q16_8_oth","time_18","note18_1","radio_q17_1","tv_q17_2","cellphone_q17_5","cellpone_internet_q17_5a","cellphone_battery_q17_5b","cellphone_unit_q17_5b_units","chair_q17_7","sofa_q17_8","motor_cycle_q17_15","time_19","films_q17_1","other_attend_q17_2","additional_movie_q19_3","planned_q19_4","audio_sec19","note_sec19","content_q17_1b","q19_3err","content_q17_1b_oth","hear_q19_4","q19_4err","hear_q19_4_oth","note_sec19_2","time_20","person_q18_1","relationship_person_q18_2","q18_2_oth","q18_2berr","note18","followup_q18_3","note20","observe_conditions_q18_4","note20_2","note21","survey_language","survey_language_oth","comments","instanceID","formdef_version","KEY","tc_id"
"1","Nov 3, 2016 7:34:24 PM","Nov 3, 2016 9:47:43 AM","Nov 3, 2016 10:37:53 AM",25,NA,NA,NA,NA,1,NA,1,NA,"Nov 3, 2016 9:47:00 AM",41240361,41240361,4,2,"2016-Nov-3 09:49:21",1,1,36,2,NA,1,NA,NA,8,5,0,7,NA,8,"11",NA,3,2,2,2,18,NA,4,17,NA,"2",NA,NA,17,NA,"Mukhonjo",NA,NA,"2016-Nov-3 09:55:45",1,NA,"1 9 10 8",NA,"5 4",NA,"2016-Nov-3 09:56:47",4,NA,NA,6,5,"2016-Nov-3 09:57:17",1,1,NA,1,1,0.970729832023109,NA,NA,NA,NA,2,1,"2016-Nov-3 09:47:43",0,"1 6 7",NA,"2016-Nov-3 10:02:39",NA,1,2,2,2,"2016-Nov-3 10:02:55",NA,NA,"media\AA_1b6f733b-c654-4d46-855c-eccafc22f9ee_note8_1.3gpp",NA,0.626281229701506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.108168564198915,2,NA,NA,NA,1,NA,2,NA,2,2,NA,"2016-Nov-3 10:14:22",NA,0.451342207241706,1,NA,0.738401394794745,NA,1,1,"2016-Nov-3 10:14:27",0.633368058073708,NA,"2016-Nov-3 10:16:35",1,1,"2016-Nov-3 10:16:41","2016-Nov-3 10:29:26",9,NA,1,1,"2016-Nov-3 10:29:37",2,2,0.322136105769171,"2016-Nov-3 10:30:40",0.224603284498619,NA,1,NA,"2016-Nov-3 10:31:07",NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,2,NA,NA,2,1,NA,1,NA,1,NA,3,NA,"2016-Nov-3 10:32:32",NA,2,2,1,2,4,3,1,2,2,"2016-Nov-3 10:33:11",8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Nov-3 10:33:27",2,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,"He knew little luganda because of being amokonjo but he tried ","uuid:1b6f733b-c654-4d46-855c-eccafc22f9ee",1611021954,"uuid:1b6f733b-c654-4d46-855c-eccafc22f9ee",79
"2","Nov 3, 2016 7:34:30 PM","Nov 3, 2016 12:22:46 PM","Nov 3, 2016 1:07:35 PM",25,NA,NA,NA,NA,1,NA,1,NA,"Nov 3, 2016 12:23:00 PM",41240131,41240131,4,2,"2016-Nov-3 12:24:43",1,3,26,1,NA,7,NA,NA,1,NA,NA,NA,NA,0,"11",NA,3,2,1,1,5,3,NA,2,NA,"2",NA,NA,1,NA,"Muganda",2,NA,"2016-Nov-3 12:31:00",6,NA,"9 4 5 8",NA,"8",NA,"2016-Nov-3 12:32:50",5,NA,2,2,5,"2016-Nov-3 12:34:08",3,1,NA,1,2,0.635235614692676,NA,NA,3,1,NA,NA,"2016-Nov-3 12:22:47",0,"2 7 8",NA,"2016-Nov-3 12:38:18",NA,1,2,1,1,"2016-Nov-3 12:39:03",NA,NA,"media\AA_e0e80fd9-d147-4374-b911-00682968e277_note8_1.3gpp",NA,0.551877717654281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.302505084206797,2,NA,NA,NA,2,NA,2,NA,1,2,NA,"2016-Nov-3 12:43:12",NA,0.850568792108042,NA,1,0.00555465319069037,2,NA,1,"2016-Nov-3 12:43:44",0.135293350409962,NA,"2016-Nov-3 12:45:28",1,1,"2016-Nov-3 12:46:26","2016-Nov-3 12:51:48",5,NA,1,1,"2016-Nov-3 12:52:00",2,2,0.145826385064205,"2016-Nov-3 12:53:21",0.568293364503556,NA,NA,1,"2016-Nov-3 12:53:54",NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,2,NA,NA,2,1,NA,1,NA,4,NA,2,NA,"2016-Nov-3 12:55:09",NA,1,2,1,2,4,3,1,2,2,"2016-Nov-3 12:55:33",7,1,1,2,"media\AA_e0e80fd9-d147-4374-b911-00682968e277_note_sec19.3gpp",NA,NA,NA,NA,"7",NA,NA,NA,"2016-Nov-3 12:57:21",2,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,"Direct and precise ","uuid:e0e80fd9-d147-4374-b911-00682968e277",1611021954,"uuid:e0e80fd9-d147-4374-b911-00682968e277",79
"3","Nov 3, 2016 7:34:37 PM","Nov 3, 2016 1:31:09 PM","Nov 3, 2016 2:36:16 PM",25,NA,NA,NA,NA,1,NA,1,NA,"Nov 3, 2016 1:31:00 PM",41240141,41240141,4,2,"2016-Nov-3 13:33:24",1,2,18,3,NA,7,NA,NA,4,0,2,1,NA,0,"11",NA,3,2,2,1,10,NA,2,2,NA,"2",NA,NA,1,NA,"Muganda",2,NA,"2016-Nov-3 13:38:19",1,NA,"1 9 4 6",NA,"5 4",NA,"2016-Nov-3 13:40:51",5,1,1,6,5,"2016-Nov-3 13:41:43",2,2,NA,2,2,0.00452729372352623,3,1,NA,NA,NA,NA,"2016-Nov-3 13:31:10",0,"2 6 8",NA,"2016-Nov-3 13:45:11",NA,1,2,2,2,"2016-Nov-3 13:45:51",NA,NA,"media\AA_664f1e93-cabf-4dd6-a341-8448cf5ebf4f_note8_1.3gpp",NA,0.388403024156165,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.505397927077047,NA,2,NA,NA,1,NA,NA,2,1,1,NA,"2016-Nov-3 13:50:55",NA,0.816290831183839,NA,1,0.563055705281969,NA,2,1,"2016-Nov-3 13:51:00",0.172570024883577,NA,"2016-Nov-3 13:53:32",2,2,"2016-Nov-3 13:54:43","2016-Nov-3 14:00:56",3,NA,1,5,"2016-Nov-3 14:01:07",2,1,0.594529610526972,"2016-Nov-3 14:02:28",0.86832277457372,NA,NA,1,"2016-Nov-3 14:03:23",NA,NA,2,0,NA,NA,NA,NA,1,1,NA,1,NA,NA,2,NA,NA,4,1,NA,1,NA,6,NA,3,NA,"2016-Nov-3 14:04:50",NA,1,2,1,1,3,3,1,2,2,"2016-Nov-3 14:05:54",6,1,2,NA,"media\AA_664f1e93-cabf-4dd6-a341-8448cf5ebf4f_note_sec19.3gpp",NA,5,NA,NA,NA,NA,NA,NA,"2016-Nov-3 14:07:27",2,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,"uuid:664f1e93-cabf-4dd6-a341-8448cf5ebf4f",1611021954,"uuid:664f1e93-cabf-4dd6-a341-8448cf5ebf4f",79
"4","Nov 3, 2016 7:35:12 PM","Nov 3, 2016 2:36:46 PM","Nov 3, 2016 3:48:27 PM",25,NA,NA,NA,NA,1,NA,1,NA,"Nov 3, 2016 2:37:00 PM",41240171,41240171,4,2,"2016-Nov-3 14:39:41",1,3,26,1,NA,1,NA,NA,5,3,0,4,NA,3,"11",NA,1,1,2,2,11,NA,2,2,NA,"2",NA,NA,1,NA,"Muganda",2,NA,"2016-Nov-3 14:47:57",12,NA,"1 9 4 8",NA,"8",NA,"2016-Nov-3 14:48:51",4,NA,NA,3,4,"2016-Nov-3 14:49:10",1,1,NA,2,2,0.322825229721143,1,1,NA,NA,NA,NA,"2016-Nov-3 14:36:47",0,"1 6 8",NA,"2016-Nov-3 14:50:59",NA,1,1,2,2,"2016-Nov-3 14:51:06",NA,NA,"media\AA_60e75012-4b08-4738-9579-0762c64d37be_note8_1.3gpp",NA,0.393168829446054,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.969322851460453,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,"2016-Nov-3 14:55:34",NA,0.277029128919588,1,NA,0.409160082577112,1,NA,1,"2016-Nov-3 14:55:38",0.017915200298807,NA,"2016-Nov-3 14:55:59",1,1,"2016-Nov-3 14:56:39","2016-Nov-3 15:07:46",3,NA,1,1,"2016-Nov-3 15:08:14",2,NA,0.593513670248362,"2016-Nov-3 15:09:15",0.0636342720733838,NA,1,NA,"2016-Nov-3 15:09:35",NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,2,NA,NA,2,3,NA,1,NA,1,NA,3,NA,"2016-Nov-3 15:11:04",NA,1,2,1,2,3,3,1,2,2,"2016-Nov-3 15:11:52",8,1,2,NA,"media\AA_60e75012-4b08-4738-9579-0762c64d37be_note_sec19.3gpp",NA,NA,NA,NA,"7",NA,NA,NA,"2016-Nov-3 15:12:43",2,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,"His wasn't answering questions well had some attitude towards the study though he participated but he was making rush questions ","uuid:60e75012-4b08-4738-9579-0762c64d37be",1611021954,"uuid:60e75012-4b08-4738-9579-0762c64d37be",79
"5","Nov 3, 2016 7:35:27 PM","Nov 3, 2016 9:02:43 AM","Nov 3, 2016 9:39:48 AM",17,NA,NA,NA,NA,1,NA,1,NA,"Nov 3, 2016 9:02:00 AM",41240221,41240221,4,1,"2016-Nov-3 09:03:33",1,1,27,1,NA,2,NA,NA,3,1,0,2,NA,2,"11",NA,3,1,2,1,7,2,NA,31,NA,"31 34",NA,NA,24,NA,"Munyoro",2,NA,"2016-Nov-3 09:05:57",1,NA,"9 10 5 8",NA,"7 9",NA,"2016-Nov-3 09:08:45",5,NA,3,2,5,"2016-Nov-3 09:10:16",3,1,NA,2,2,0.0845887071824617,1,1,NA,NA,NA,NA,"2016-Nov-3 09:02:44",1,"2 4 5",NA,"2016-Nov-3 09:13:15",NA,1,2,1,2,"2016-Nov-3 09:14:01",NA,NA,"media\AA_c32eb52b-e433-4649-bc1c-a54014dc125e_note8_1.3gpp",NA,0.799771074330556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,NA,2,NA,1,0.970888236078278,NA,NA,2,NA,2,2,NA,NA,1,1,NA,"2016-Nov-3 09:18:51",NA,0.233285714531033,1,NA,0.822058043791076,NA,1,2,"2016-Nov-3 09:19:58",0.36093956001072,NA,"2016-Nov-3 09:22:09",2,2,"2016-Nov-3 09:23:10","2016-Nov-3 09:28:49",4,NA,1,1,"2016-Nov-3 09:29:05",2,1,0.538268807092462,"2016-Nov-3 09:29:57",0.935059125066876,NA,NA,1,"2016-Nov-3 09:30:39",NA,NA,1,0,NA,NA,NA,NA,2,NA,3,1,NA,NA,3,NA,NA,2,5,NA,7,NA,6,NA,2,NA,"2016-Nov-3 09:32:18",NA,1,2,1,2,4,3,1,2,2,"2016-Nov-3 09:32:43",6,2,2,NA,"media\AA_c32eb52b-e433-4649-bc1c-a54014dc125e_note_sec19.3gpp",NA,4,NA,NA,NA,NA,NA,NA,"2016-Nov-3 09:34:34",2,NA,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,"uuid:c32eb52b-e433-4649-bc1c-a54014dc125e",1611021954,"uuid:c32eb52b-e433-4649-bc1c-a54014dc125e",79
"6","Nov 3, 2016 7:35:47 PM","Nov 3, 2016 12:22:23 PM","Nov 3, 2016 12:59:55 PM",17,NA,NA,NA,NA,1,NA,1,NA,"Nov 3, 2016 12:22:00 PM",41240021,41240021,4,1,"2016-Nov-3 12:23:15",1,1,37,1,NA,2,NA,NA,5,3,0,4,NA,3,"11",NA,1,1,2,1,5,2,NA,2,NA,"2 31",NA,NA,24,NA,"Munyoro",2,NA,"2016-Nov-3 12:25:55",1,NA,"9 4 6 8",NA,"4",NA,"2016-Nov-3 12:28:05",5,NA,2,2,5,"2016-Nov-3 12:29:01",3,1,NA,2,2,0.735213396370591,NA,NA,NA,NA,3,3,"2016-Nov-3 12:22:24",1,"3 4 6",NA,"2016-Nov-3 12:32:23",NA,1,2,1,2,"2016-Nov-3 12:33:46",NA,NA,"media\AA_316ebfb1-edd7-4bfb-9300-e94294204e65_note8_1.3gpp",NA,0.733586728355619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.665537529498938,NA,2,NA,NA,2,NA,NA,2,1,1,NA,"2016-Nov-3 12:37:21",NA,0.0576098496943288,1,NA,0.939311373607529,NA,1,1,"2016-Nov-3 12:38:03",0.184100956924306,NA,"2016-Nov-3 12:40:04",2,1,"2016-Nov-3 12:41:08","2016-Nov-3 12:46:37",4,NA,0,1,"2016-Nov-3 12:46:59",2,1,0.886317527036287,"2016-Nov-3 12:47:56",0.806061142390284,NA,NA,1,"2016-Nov-3 12:48:34",NA,NA,2,0,NA,NA,NA,NA,2,NA,1,1,NA,NA,3,NA,NA,1,5,NA,7,NA,5,NA,3,NA,"2016-Nov-3 12:49:52",NA,1,2,1,2,4,3,1,2,2,"2016-Nov-3 12:50:19",5,2,1,1,"media\AA_316ebfb1-edd7-4bfb-9300-e94294204e65_note_sec19.3gpp",NA,3,NA,NA,NA,NA,NA,NA,"2016-Nov-3 12:51:51",2,NA,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,"uuid:316ebfb1-edd7-4bfb-9300-e94294204e65",1611021954,"uuid:316ebfb1-edd7-4bfb-9300-e94294204e65",79
"7","Nov 3, 2016 7:36:10 PM","Nov 3, 2016 1:10:47 PM","Nov 3, 2016 1:51:02 PM",17,NA,NA,NA,NA,1,NA,1,NA,"Nov 3, 2016 1:11:00 PM",41240291,41240291,4,1,"2016-Nov-3 13:11:33",1,1,26,1,NA,7,NA,NA,1,NA,NA,NA,NA,1,"11",NA,3,2,1,1,5,2,NA,31,NA,"2 31",NA,NA,24,NA,"Munyoro",4,NA,"2016-Nov-3 13:14:01",7,NA,"1 10 4 8",NA,"5 1 2 3",NA,"2016-Nov-3 13:18:12",5,NA,NA,2,5,"2016-Nov-3 13:19:05",1,2,NA,1,1,0.0723339908720186,1,1,NA,NA,NA,NA,"2016-Nov-3 13:10:48",1,"4 5 6",NA,"2016-Nov-3 13:21:56",NA,1,2,1,2,"2016-Nov-3 13:22:50",NA,NA,"media\AA_9c327615-f80c-4ab8-8a05-1b5155c67c10_note8_1.3gpp",NA,0.241261008601684,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.360588676875887,NA,2,NA,NA,1,NA,NA,2,1,1,NA,"2016-Nov-3 13:26:39",NA,0.0898770691162138,2,NA,0.0663409277422256,1,NA,1,"2016-Nov-3 13:27:31",0.597315991297574,NA,"2016-Nov-3 13:29:48",1,1,"2016-Nov-3 13:30:32","2016-Nov-3 13:36:03",2,NA,3,1,"2016-Nov-3 13:36:20",1,NA,0.259000100192242,"2016-Nov-3 13:37:09",0.507817159610292,NA,NA,1,"2016-Nov-3 13:37:45",NA,NA,5,3,"2",NA,NA,NA,2,NA,1,1,NA,NA,2,NA,NA,2,1,NA,1,NA,5,NA,3,NA,"2016-Nov-3 13:39:33",NA,1,2,1,1,5,3,1,2,2,"2016-Nov-3 13:40:06",7,2,1,2,"media\AA_9c327615-f80c-4ab8-8a05-1b5155c67c10_note_sec19.3gpp",NA,NA,NA,NA,"6",NA,"Teaching about murder",NA,"2016-Nov-3 13:42:11",2,NA,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,"uuid:9c327615-f80c-4ab8-8a05-1b5155c67c10",1611021954,"uuid:9c327615-f80c-4ab8-8a05-1b5155c67c10",79
